strato,sovrapposizione,impatto_perso_pct
0,2,89.5
1,9,38.0
2,8,37.5
3,13,29.6
4,8,49.8
5,5,59.7
6,5,58.7
7,5,67.5
8,7,56.6
9,4,66.5
10,6,57.6
11,12,42.5
12,11,38.5
13,12,29.5
14,13,30.9
15,11,37.8
16,17,17.7
17,16,19.6
18,18,13.0
19,17,11.5
20,22,4.7
21,23,4.1
22,24,2.7
23,24,1.4
24,22,4.6
25,24,1.9
26,26,1.0
27,24,2.0
28,25,0.7
29,23,1.7
30,27,0.2
31,25,0.7
32,26,0.6
33,25,1.2
34,26,0.8
35,27,0.2
36,25,0.6
37,28,0.0
38,27,0.6
39,27,0.2
40,27,0.3
41,27,1.3
42,27,0.4
43,26,1.2
44,26,0.4
45,26,1.2
46,26,1.6
47,25,2.2
48,25,1.3
49,27,0.2
50,26,1.8
51,26,1.9
52,26,1.2
53,25,2.7
54,24,5.1
55,24,3.4
56,25,4.4
57,24,5.5
58,21,14.0
59,19,18.1
🏁 CURVA COMPLETA
